Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Someshwar,02-08-2024,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Someshwar,03-08-2025,412306,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Nimbut,27-04-2024,413110,en
School building is damaged and unsafe.,other_issue,Water,Negative,High,Supa,02-06-2024,413109,en
No water supply in the village since several days.,no_water_supply,Health,Negative,High,Supa,17-07-2025,413109,en
No water supply in the village since several days.,no_water_supply,Health,Positive,High,Baramati,08-07-2025,413102,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Positive,Medium,Pandare,21-06-2025,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Health,Negative,Low,Nimbut,26-07-2025,413110,en
Road conditions are very poor and dangerous.,other_issue,Electricity,Positive,High,Nimbut,27-03-2024,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Neutral,High,Supa,26-06-2024,413109,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Baramati,07-09-2025,413102,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Negative,High,Katphal,15-06-2024,413111,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Neutral,High,Malegaon,22-11-2024,413115,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Supa,03-01-2024,413109,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Nimbut,05-07-2024,413110,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Baramati,13-03-2025,413102,en
Medicines are not available at the PHC.,medicines_not_available,Education,Negative,Low,Katphal,27-11-2024,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Supa,14-08-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Health,Neutral,Medium,Nimbut,09-09-2024,413110,en
No water supply in the village since several days.,no_water_supply,Road,Negative,Medium,Someshwar,26-01-2025,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Baramati,01-09-2025,413102,en
Road conditions are very poor and dangerous.,other_issue,Education,Neutral,Low,Katphal,18-07-2024,413111,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Supa,29-06-2025,413109,en
School building is damaged and unsafe.,other_issue,Health,Negative,Low,Supa,11-12-2024,413109,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Malegaon,02-04-2024,413115,en
Road conditions are very poor and dangerous.,other_issue,Education,Positive,Low,Katphal,10-03-2024,413111,en
Medicines are not available at the PHC.,medicines_not_available,Health,Negative,Medium,Supa,11-06-2024,413109,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Positive,High,Someshwar,17-09-2024,412306,en
Medicines are not available at the PHC.,medicines_not_available,Road,Positive,High,Nimbut,12-12-2024,413110,en
Road conditions are very poor and dangerous.,other_issue,Education,Negative,Low,Katphal,08-05-2024,413111,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,29-02-2024,413103,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Morgaon,18-07-2025,413304,en
No water supply in the village since several days.,no_water_supply,Water,Positive,High,Morgaon,08-01-2024,413304,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Pandare,23-12-2024,413103,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Supa,09-05-2025,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,01-07-2025,413103,en
Electricity supply is irregular in our area.,other_issue,Road,Neutral,Medium,Baramati,28-08-2024,413102,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Baramati,10-08-2025,413102,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Neutral,Medium,Supa,27-02-2025,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Nimbut,18-07-2025,413110,en
No water supply in the village since several days.,no_water_supply,Water,Positive,High,Someshwar,03-12-2024,412306,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Supa,15-07-2024,413109,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Negative,High,Katphal,11-03-2024,413111,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Katphal,30-07-2024,413111,en
Electricity supply is irregular in our area.,other_issue,Water,Neutral,High,Supa,20-03-2025,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Supa,21-04-2025,413109,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Negative,Medium,Pandare,20-10-2024,413103,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Supa,23-06-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Education,Negative,Low,Supa,03-05-2024,413109,en
Electricity supply is irregular in our area.,other_issue,Road,Negative,Medium,Nimbut,22-11-2024,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Nimbut,18-07-2024,413110,en
No water supply in the village since several days.,no_water_supply,Sanitation,Neutral,High,Nimbut,13-03-2025,413110,en
Road conditions are very poor and dangerous.,other_issue,Education,Negative,Low,Supa,15-02-2025,413109,en
Medicines are not available at the PHC.,medicines_not_available,Water,Negative,High,Baramati,28-03-2025,413102,en
Road conditions are very poor and dangerous.,other_issue,Education,Neutral,Low,Nimbut,11-08-2024,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Supa,25-05-2024,413109,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Morgaon,28-06-2025,413304,en
School building is damaged and unsafe.,other_issue,Sanitation,Neutral,High,Morgaon,20-02-2024,413304,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Positive,High,Supa,11-06-2024,413109,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Supa,16-02-2024,413109,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Malegaon,08-10-2024,413115,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Supa,23-12-2024,413109,en
No water supply in the village since several days.,no_water_supply,Sanitation,Negative,Low,Katphal,08-06-2024,413111,en
School building is damaged and unsafe.,other_issue,Water,Neutral,High,Supa,29-08-2024,413109,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Neutral,High,Supa,23-11-2024,413109,en
Medicines are not available at the PHC.,medicines_not_available,Health,Negative,Medium,Supa,21-02-2024,413109,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Nimbut,17-03-2025,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Katphal,08-06-2025,413111,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Malegaon,20-06-2025,413115,en
No water supply in the village since several days.,no_water_supply,Road,Negative,High,Supa,09-04-2025,413109,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Katphal,13-06-2024,413111,en
Road conditions are very poor and dangerous.,other_issue,Water,Neutral,High,Malegaon,24-02-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Baramati,26-08-2025,413102,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Nimbut,14-06-2024,413110,en
No water supply in the village since several days.,no_water_supply,Water,Positive,High,Supa,08-10-2024,413109,en
Medicines are not available at the PHC.,medicines_not_available,Health,Positive,Medium,Pandare,18-02-2024,413103,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Pandare,07-11-2024,413103,en
Road conditions are very poor and dangerous.,other_issue,Education,Positive,Low,Malegaon,21-01-2025,413115,en
School building is damaged and unsafe.,other_issue,Education,Neutral,Low,Nimbut,10-12-2024,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Malegaon,04-10-2024,413115,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Supa,14-05-2025,413109,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Baramati,03-03-2025,413102,en
No water supply in the village since several days.,no_water_supply,Education,Negative,Low,Morgaon,23-07-2024,413304,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Katphal,04-02-2024,413111,en
Medicines are not available at the PHC.,medicines_not_available,Road,Negative,Low,Katphal,21-05-2025,413111,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Someshwar,07-09-2025,412306,en
Electricity supply is irregular in our area.,other_issue,Road,Negative,High,Morgaon,04-07-2024,413304,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Negative,High,Katphal,08-07-2024,413111,en
Road conditions are very poor and dangerous.,other_issue,Water,Neutral,High,Baramati,24-11-2024,413102,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Morgaon,24-06-2024,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Malegaon,21-03-2024,413115,en
Electricity supply is irregular in our area.,other_issue,Water,Positive,High,Katphal,12-06-2024,413111,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Morgaon,20-06-2025,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Supa,05-06-2025,413109,en
Sanitation facilities are not adequate in the village.,other_issue,Health,Positive,Low,Morgaon,14-05-2024,413304,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Baramati,04-07-2024,413102,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Neutral,High,Nimbut,09-04-2024,413110,en
Medicines are not available at the PHC.,medicines_not_available,Education,Negative,Low,Supa,12-12-2024,413109,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Katphal,22-02-2024,413111,en
No water supply in the village since several days.,no_water_supply,Water,Positive,High,Pandare,27-04-2025,413103,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Katphal,08-11-2024,413111,en
No water supply in the village since several days.,no_water_supply,Health,Positive,High,Morgaon,04-05-2024,413304,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,26-08-2024,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Health,Negative,High,Baramati,28-07-2024,413102,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Morgaon,29-06-2025,413304,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,06-05-2024,413103,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Morgaon,15-11-2024,413304,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Morgaon,05-04-2025,413304,en
Road conditions are very poor and dangerous.,other_issue,Electricity,Positive,High,Morgaon,19-06-2024,413304,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Nimbut,16-05-2025,413110,en
Road conditions are very poor and dangerous.,other_issue,Electricity,Neutral,High,Malegaon,16-06-2024,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Nimbut,15-08-2025,413110,en
School building is damaged and unsafe.,other_issue,Education,Neutral,Low,Someshwar,09-02-2024,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Pandare,03-06-2025,413103,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Malegaon,24-01-2024,413115,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Katphal,01-03-2025,413111,en
No water supply in the village since several days.,no_water_supply,Electricity,Negative,High,Someshwar,09-10-2024,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Morgaon,08-06-2025,413304,en
Electricity supply is irregular in our area.,other_issue,Electricity,Negative,High,Katphal,27-09-2024,413111,en
No water supply in the village since several days.,no_water_supply,Sanitation,Positive,Medium,Pandare,10-12-2024,413103,en
No water supply in the village since several days.,no_water_supply,Education,Positive,Low,Someshwar,15-09-2024,412306,en
No water supply in the village since several days.,no_water_supply,Road,Positive,High,Nimbut,16-09-2025,413110,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Katphal,30-12-2024,413111,en
School building is damaged and unsafe.,other_issue,Water,Positive,High,Pandare,12-02-2024,413103,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Katphal,03-03-2024,413111,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Nimbut,06-09-2025,413110,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Negative,Medium,Someshwar,29-05-2024,412306,en
No water supply in the village since several days.,no_water_supply,Electricity,Negative,High,Malegaon,02-11-2024,413115,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Baramati,17-06-2025,413102,en
School building is damaged and unsafe.,other_issue,Sanitation,Negative,High,Nimbut,09-06-2024,413110,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Neutral,High,Morgaon,20-05-2025,413304,en
Electricity supply is irregular in our area.,other_issue,Education,Positive,Low,Pandare,05-05-2025,413103,en
Road conditions are very poor and dangerous.,other_issue,Education,Positive,Low,Baramati,28-08-2024,413102,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Nimbut,18-08-2024,413110,en
School building is damaged and unsafe.,other_issue,Sanitation,Positive,Medium,Morgaon,24-05-2025,413304,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Positive,High,Katphal,25-06-2025,413111,en
No water supply in the village since several days.,no_water_supply,Education,Positive,Low,Pandare,06-02-2024,413103,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Supa,31-07-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Road,Neutral,Medium,Katphal,11-01-2024,413111,en
No water supply in the village since several days.,no_water_supply,Health,Positive,High,Nimbut,05-03-2024,413110,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Malegaon,21-05-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Supa,02-04-2025,413109,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Someshwar,09-06-2024,412306,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Morgaon,09-08-2025,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Katphal,30-05-2024,413111,en
Electricity supply is irregular in our area.,other_issue,Education,Negative,Low,Morgaon,14-06-2025,413304,en
School building is damaged and unsafe.,other_issue,Road,Negative,High,Malegaon,13-02-2024,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Pandare,12-03-2025,413103,en
No water supply in the village since several days.,no_water_supply,Education,Negative,Low,Malegaon,31-05-2025,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Health,Positive,Medium,Katphal,09-04-2025,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Baramati,21-12-2024,413102,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Someshwar,31-07-2024,412306,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Pandare,20-05-2025,413103,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Katphal,15-07-2025,413111,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Nimbut,06-09-2024,413110,en
School building is damaged and unsafe.,other_issue,Water,Positive,High,Supa,12-07-2024,413109,en
Medicines are not available at the PHC.,medicines_not_available,Water,Negative,High,Supa,09-10-2024,413109,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Neutral,Medium,Pandare,22-05-2025,413103,en
School building is damaged and unsafe.,other_issue,Water,Negative,High,Morgaon,31-01-2024,413304,en
Road conditions are very poor and dangerous.,other_issue,Water,Positive,High,Malegaon,25-11-2024,413115,en
No water supply in the village since several days.,no_water_supply,Electricity,Negative,High,Katphal,09-06-2024,413111,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Supa,29-10-2024,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Katphal,23-05-2024,413111,en
Electricity supply is irregular in our area.,other_issue,Health,Positive,Medium,Malegaon,12-04-2025,413115,en
Road conditions are very poor and dangerous.,other_issue,Health,Negative,Low,Malegaon,08-03-2024,413115,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Nimbut,01-08-2025,413110,en
Medicines are not available at the PHC.,medicines_not_available,Education,Negative,Low,Morgaon,20-01-2025,413304,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,02-10-2024,413115,en
No water supply in the village since several days.,no_water_supply,Education,Negative,Low,Nimbut,20-11-2024,413110,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Negative,High,Someshwar,28-03-2025,412306,en
Electricity supply is irregular in our area.,other_issue,Water,Neutral,High,Morgaon,08-03-2025,413304,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Neutral,High,Nimbut,10-06-2025,413110,en
School building is damaged and unsafe.,other_issue,Water,Neutral,High,Pandare,14-10-2024,413103,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Someshwar,03-09-2025,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Supa,24-03-2024,413109,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Morgaon,13-04-2025,413304,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Morgaon,01-09-2025,413304,en
No water supply in the village since several days.,no_water_supply,Road,Negative,Low,Malegaon,27-05-2025,413115,en
No water supply in the village since several days.,no_water_supply,Health,Positive,Low,Malegaon,22-07-2025,413115,en
No water supply in the village since several days.,no_water_supply,Water,Neutral,High,Nimbut,18-03-2025,413110,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Pandare,02-09-2025,413103,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Morgaon,21-09-2024,413304,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Baramati,09-02-2024,413102,en
Electricity supply is irregular in our area.,other_issue,Health,Positive,Medium,Someshwar,02-10-2024,412306,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Katphal,05-02-2025,413111,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Pandare,04-03-2025,413103,en
School building is damaged and unsafe.,other_issue,Electricity,Neutral,High,Supa,06-03-2025,413109,en
Medicines are not available at the PHC.,medicines_not_available,Water,Positive,High,Morgaon,22-07-2024,413304,en
Electricity supply is irregular in our area.,other_issue,Health,Positive,Low,Katphal,03-01-2025,413111,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Medium,Malegaon,15-08-2025,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Nimbut,19-07-2025,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Positive,High,Supa,21-08-2024,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,06-09-2025,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Someshwar,29-05-2025,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Baramati,09-05-2024,413102,en
Road conditions are very poor and dangerous.,other_issue,Electricity,Neutral,High,Nimbut,10-08-2025,413110,en
Road conditions are very poor and dangerous.,other_issue,Road,Negative,Low,Katphal,30-12-2024,413111,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Pandare,09-12-2024,413103,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Someshwar,02-06-2024,412306,en
Electricity supply is irregular in our area.,other_issue,Road,Negative,Low,Pandare,21-03-2024,413103,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Nimbut,04-06-2024,413110,en
No water supply in the village since several days.,no_water_supply,Sanitation,Negative,High,Malegaon,17-01-2024,413115,en
School building is damaged and unsafe.,other_issue,Education,Positive,Low,Nimbut,02-01-2025,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Education,Positive,Low,Someshwar,22-08-2024,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Low,Katphal,29-06-2025,413111,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Malegaon,06-09-2024,413115,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Morgaon,19-02-2025,413304,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Nimbut,18-02-2025,413110,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Katphal,23-04-2024,413111,en
School building is damaged and unsafe.,other_issue,Education,Positive,Low,Baramati,04-05-2025,413102,en
Road conditions are very poor and dangerous.,other_issue,Water,Negative,High,Someshwar,24-08-2025,412306,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,01-04-2024,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Health,Positive,Medium,Morgaon,05-08-2025,413304,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Morgaon,11-01-2024,413304,en
No water supply in the village since several days.,no_water_supply,Sanitation,Positive,High,Malegaon,29-03-2025,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Pandare,10-03-2024,413103,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Neutral,High,Someshwar,11-01-2024,412306,en
Medicines are not available at the PHC.,medicines_not_available,Sanitation,Neutral,Medium,Nimbut,20-06-2025,413110,en
School building is damaged and unsafe.,other_issue,Electricity,Positive,High,Supa,13-02-2024,413109,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Malegaon,31-08-2025,413115,en
Medicines are not available at the PHC.,medicines_not_available,Electricity,Neutral,High,Malegaon,18-08-2025,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Katphal,02-01-2025,413111,en
School building is damaged and unsafe.,other_issue,Health,Positive,Medium,Someshwar,19-08-2024,412306,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Malegaon,06-01-2025,413115,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Pandare,27-03-2025,413103,en
Medicines are not available at the PHC.,medicines_not_available,Education,Negative,Low,Supa,01-06-2024,413109,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Baramati,22-06-2024,413102,en
Medicines are not available at the PHC.,medicines_not_available,Health,Negative,Medium,Someshwar,03-03-2024,412306,en
Sanitation facilities are not adequate in the village.,other_issue,Road,Neutral,Medium,Morgaon,25-12-2024,413304,en
Road conditions are very poor and dangerous.,other_issue,Road,Neutral,High,Morgaon,02-02-2025,413304,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Pandare,01-06-2025,413103,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,01-05-2024,413115,en
School building is damaged and unsafe.,other_issue,Education,Negative,Low,Someshwar,19-08-2025,412306,en
Electricity supply is irregular in our area.,other_issue,Sanitation,Negative,Medium,Someshwar,06-06-2025,412306,en
Marathi complaint - needs translation,other_issue,Water,Neutral,High,Malegaon,04-12-2024,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Water,Neutral,High,Someshwar,26-08-2025,412306,en
No water supply in the village since several days.,no_water_supply,Road,Positive,Medium,Baramati,21-10-2024,413102,en
Electricity supply is irregular in our area.,other_issue,Education,Negative,Low,Morgaon,23-08-2024,413304,en
Road conditions are very poor and dangerous.,other_issue,Sanitation,Negative,Low,Malegaon,12-08-2024,413115,en
Electricity supply is irregular in our area.,other_issue,Health,Positive,Medium,Nimbut,25-01-2024,413110,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Pandare,13-07-2024,413103,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Someshwar,27-08-2024,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Baramati,13-03-2024,413102,en
Medicines are not available at the PHC.,medicines_not_available,Road,Positive,Low,Morgaon,01-03-2025,413304,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Supa,05-11-2024,413109,en
School building is damaged and unsafe.,other_issue,Electricity,Neutral,High,Pandare,26-05-2024,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Education,Negative,Low,Nimbut,02-12-2024,413110,en
Electricity supply is irregular in our area.,other_issue,Electricity,Neutral,High,Pandare,01-06-2025,413103,en
Sanitation facilities are not adequate in the village.,other_issue,Electricity,Neutral,High,Malegaon,19-05-2024,413115,en
Sanitation facilities are not adequate in the village.,other_issue,Sanitation,Negative,Medium,Nimbut,16-12-2024,413110,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Supa,15-05-2024,413109,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Someshwar,22-05-2025,412306,en
Road conditions are very poor and dangerous.,other_issue,Road,Negative,Low,Morgaon,15-02-2024,413304,en
School building is damaged and unsafe.,other_issue,Road,Neutral,Medium,Baramati,25-02-2025,413102,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Katphal,06-05-2024,413111,en
No water supply in the village since several days.,no_water_supply,Road,Neutral,High,Someshwar,17-06-2025,412306,en
Marathi complaint - needs translation,other_issue,Health,Neutral,High,Nimbut,09-03-2025,413110,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Baramati,29-07-2024,413102,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Medium,Pandare,24-05-2025,413103,en
No water supply in the village since several days.,no_water_supply,Health,Neutral,Medium,Baramati,19-06-2024,413102,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,Low,Malegaon,07-05-2024,413115,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Pandare,07-09-2025,413103,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Nimbut,14-06-2025,413110,en
Sanitation facilities are not adequate in the village.,other_issue,Sanitation,Negative,Medium,Baramati,04-12-2024,413102,en
School building is damaged and unsafe.,other_issue,Education,Positive,Low,Nimbut,19-08-2025,413110,en
Medicines are not available at the PHC.,medicines_not_available,Education,Negative,Low,Morgaon,05-06-2024,413304,en
No water supply in the village since several days.,no_water_supply,Education,Neutral,Low,Someshwar,30-07-2025,412306,en
Road conditions are very poor and dangerous.,other_issue,Health,Negative,High,Supa,14-05-2025,413109,en
Electricity supply is irregular in our area.,other_issue,Education,Negative,Low,Katphal,20-07-2024,413111,en
Road conditions are very poor and dangerous.,other_issue,Education,Negative,Low,Baramati,13-06-2024,413102,en
Road conditions are very poor and dangerous.,other_issue,Health,Negative,Low,Nimbut,04-01-2024,413110,en
Medicines are not available at the PHC.,medicines_not_available,Water,Positive,High,Baramati,30-08-2025,413102,en
No water supply in the village since several days.,no_water_supply,Water,Neutral,High,Nimbut,03-05-2024,413110,en
Marathi complaint - needs translation,other_issue,Road,Neutral,Low,Baramati,03-04-2025,413102,en
Sanitation facilities are not adequate in the village.,other_issue,Sanitation,Negative,Low,Pandare,18-10-2024,413103,en
School building is damaged and unsafe.,other_issue,Education,Positive,Low,Supa,19-08-2025,413109,en
School building is damaged and unsafe.,other_issue,Electricity,Positive,High,Katphal,31-05-2025,413111,en
Marathi complaint - needs translation,other_issue,Education,Neutral,Low,Someshwar,27-10-2024,412306,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Malegaon,26-09-2024,413115,en
Marathi complaint - needs translation,other_issue,Road,Neutral,High,Supa,02-07-2024,413109,en
Electricity supply is irregular in our area.,other_issue,Road,Negative,High,Baramati,10-01-2024,413102,en
No water supply in the village since several days.,no_water_supply,Health,Negative,High,Morgaon,20-02-2025,413304,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Katphal,06-05-2025,413111,en
Electricity supply is irregular in our area.,other_issue,Road,Positive,High,Baramati,21-06-2024,413102,en
School building is damaged and unsafe.,other_issue,Health,Positive,High,Katphal,11-11-2024,413111,en
School building is damaged and unsafe.,other_issue,Sanitation,Positive,High,Pandare,26-12-2024,413103,en
School building is damaged and unsafe.,other_issue,Water,Positive,High,Supa,31-03-2024,413109,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Supa,30-08-2024,413109,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Someshwar,26-07-2024,412306,en
Marathi complaint - needs translation,other_issue,Sanitation,Neutral,High,Supa,21-03-2025,413109,en
Marathi complaint - needs translation,other_issue,Electricity,Neutral,High,Baramati,28-03-2024,413102,en
Marathi complaint - needs translation,other_issue,Health,Neutral,Medium,Morgaon,03-11-2024,413304,en
